,componentType,componentProps/sx/maxWidth,id,componentProps/sx/py,componentProps/sx/px,componentProps/sx/borderRadius,componentProps/sx/textAlign,componentProps/sx/width,componentProps/sx/padding,componentProps/sx/bgcolor,componentProps/sx/display,componentProps/sx/justifyContent,componentProps/sx/alignItems,componentProps/sx/boxShadow,componentProps/elevation,componentProps/sx/p,componentProps/sx/height,componentProps/sx/boxSizing,componentProps/sx/marginBottom,componentProps/sx/marginTop,componentProps/sx/margin,componentProps/sx/borderLeft,componentProps/raised,componentProps/sx/border,componentProps/sx/cursor,componentProps/sx/mt,componentProps/sx/minWidth,componentProps/sx/m,componentProps/sx/minHeight,componentProps/sx/borderTop,componentProps/sx/backgroundColor,componentProps/variant,componentProps/sx/marginLeft,componentProps/sx/my,componentProps/sx/color,componentProps/sx/flexDirection,componentProps/sx/gap,componentProps/sx/flexWrap,componentProps/sx/fontFamily,componentProps/sx/fontWeight,componentProps/sx/flexGrow,componentProps/sx/mx,componentProps/sx/pl,componentProps/sx/pt,componentProps/sx/pr,componentProps/sx/mb,componentProps/sx/ml,componentProps/sx/position,componentProps/sx/pb,componentProps/sx/overflowY,componentProps/sx/mr,componentProps/sx/background,componentProps/sx/zIndex,componentProps/dense,componentProps/sx/overflow,componentProps/sx/paddingBottom,componentProps/sx/top,componentProps/sx/right,componentProps/component,componentProps/defaultChecked,componentProps/disabled,componentProps/className,componentProps/checked,componentProps/required,componentProps/size,componentProps/label,componentProps/color,componentProps/sx/fontSize,componentProps/sx/& .MuiSwitch-switchBase/&.Mui-checked/color,componentProps/sx/& .MuiSwitch-switchBase/&.Mui-checked/& + .MuiSwitch-track/backgroundColor,componentProps/sx/textTransform,componentProps/disableElevation,componentProps/align,componentProps/sx/borderColor,componentProps/sx/&:hover/bgcolor,componentProps/fullWidth,componentProps/sx/bgColor,componentProps/sx/marginRight,componentProps/sx/&:hover /bgcolor,componentProps/sx/&:hover /color,componentProps/varaiant,componentProps/sx/dsplay,componentProps/startIcon/key,componentProps/startIcon/ref,componentProps/startIcon/_owner,componentProps/sx/letterSpacing,componentProps/sx/& .MuiButton-startIcon/verticalAlign,componentProps/sx/& .MuiButton-startIcon/mr,componentProps/sx/& .MuiButton-startIcon/mb,componentProps/m,componentProps/sx/&:hover/color,componentProps/sx/paddingTop,componentProps/sx/fontweight,componentProps/sx/alignitems,componentProps/sx/paddingInline,componentProps/sx/paddingBlock,componentProps/varient,componentProps/variat,componentProps/sx/diaplay,componentProps/sx/left,componentProps/sx/textDecoration,componentProps/varaint,componentProps/sx/widh,componentProps/p,componentProps/sx/bottom,componentProps/sx/& .css-1d6wzja-MuiButton-startIcon>*:nth-of-type(1)/fontSize,componentProps/style/width,componentProps/style/height,componentProps/style/textTransform,componentProps/style/fontSize,componentProps/sx/dosplay,componentProps/sx/diaplsy,componentProps/sx/&:hover/backgroundColor,componentProps/mt,componentProps/sx/paddingRight,componentProps/sx/spacing,componentProps/sx/borderBottom,componentProps/sx/wordWrap,componentProps/px,componentProps/height,componentProps/mb,componentProps/sx/borderTopLeftRadius,componentProps/sx/borderBottomLeftRadius,componentProps/completed,componentProps/active,componentProps/error,componentProps/icon,componentProps/fontSize,componentProps/sx/verticalAlign,componentProps/sx/transform,componentProps/fontWeight,componentProps/sx/marginInline,componentProps/sx/stroke,componentProps/sx/strokeWidth,componentProps/sx/opacity,componentProps/ml,componentProps/mr,componentProps/marginRight,componentProps/bgcolor,componentProps/indicator,componentProps/selected,componentProps/textColor,componentProps/value,componentProps/indeterminate,componentProps/edge,componentProps/tabIndex,componentProps/inputProps/aria-labelledby,componentProps/labe,componentProps/name,componentProps/inputProps/aria-label,componentProps/default
8036,Icon,,-JOvjh9A6I4nXIiscEQQw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#FFA812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8037,Icon,,A4R5FEvlnB4K-q1P8Wa3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#394046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8038,Icon,,ty3LHVnSvA4-8xWbNSkOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#603311,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,15px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8039,Icon,,mfCAKXnlsvUcASw3sWdNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#236B8E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8040,Icon,,v9T-ghjJSOZMtbbf1o9oY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#fff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8041,Icon,,UBF3iO88Nuh0BdMiVhFdD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#003EFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8042,Icon,,0G3nfsO26_jE7ZlnEG4eT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#ec1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8043,Icon,,mF6_PkewJs8JSXZKFYW8z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8044,Icon,,NDykyQoRuk1uHNICMV2mO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2F2F4F,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,success,37px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,middle,,,,,,,,,,,,,,,,,,,,,,
8045,Icon,,0XBJdD8lZXa5y2v5De7xK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#660198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8046,Icon,,5-k5DZr-ANKhubHqUJwca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047,Icon,,SqMIVG5hk6FifB1-twgT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#36648B,,,,,,,,,,,,,,,,5px,,,,,,,,,,,,,,,,,19px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8048,Icon,,E3KqTJ-0Sg4TE_1SXcuQZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#FF3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8049,Icon,,pS6xLtxPGIQhwmyj3NIi8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#0000C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8050,Icon,,ZcFW_UVYMQq0sTUuYQI_-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#003F87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8051,Icon,,eRELKWH9rlbEG29kEYV2q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2E473B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8052,Icon,,KSX7wWI1MdioE-i8g6b6t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8053,Icon,,98C_G0GU90GZbtzKGIVMW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8B0A50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8054,Icon,,6o471c4yMMMerrYcE0X2u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#660198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8055,Icon,,35_mgeu9RAJs_U7wvEC1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#330000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8056,Icon,,p0S9wBn2jur-1goobAjah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,38px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,middle,,,,,,,,,,,,,,,,,,,,,,
8057,Icon,,CZYGQsufaFw9vLmwvhJdZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#B0171F,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,primary,42px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,,,,,,,,,,,,,,,,,
8058,Icon,,pV4DvhaTOaqJE6qXiou6w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8059,Icon,,1plXxN9Hd30zXr-7j-_Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2F4F2F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5rem,,,,,,,,,,,,,,,,,,,,,,,
8060,Icon,,mYNC2aGWl1n5IL4FRqJ3I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#003F87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8061,Icon,,uq2CfcnziILtkqTyKrayG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2B4F81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8062,Icon,,6FAtikYNhSRCJ0MD1BtPh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#42526C,,,,,,,,,,,,,,,,10px,,,,,,,,,,,,,,,,,19px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8063,Icon,,AB2Yy7WMhQIBKPiWvQ1nG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#FF3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8064,Icon,,PdEORH1FFjyHBDDP-9DYq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#330000,,,,,,,,,,,,,,,,5px,,,,,,,,,,,,,,,,,31px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8065,Icon,,oBsiRmWKPkS4Y_HDo3bcH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#7c809a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8066,Icon,,v5u06kcsvVO2-RqXdgzpQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,36px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8067,Icon,,BzYLEfQmlE5oCRPZtgEU_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#0d7fca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8068,Icon,,QRcYd48nlT_VLzK2OLPKn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#6F4242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8069,Icon,,PdUK1IFS43c1eq2nrbVbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#800080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8070,Icon,,D4ocSx4c6M4nz_1HAtO-w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#fff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8071,Icon,,8OHVfwj6LpclRRIqyZUOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,22px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,middle,,,,,,,,,,,,,,,,,,,,,,
8072,Icon,,O1lCL_hnrJrNONmIOpcqL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#26466D,,,,,,,,,,,,,,,,10px,,,,,,,,,,,,,,,,,36px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8073,Icon,,BPn1TwIR25LMpNPhV-ZZ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#36648B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8074,Icon,,vrQtaL309YiFsFE-pY_pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2F4F4F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large,,,,,,,,,,,,,,,,,,,,,,,
8075,Icon,,y9mu_0m3uI_jKaJNBYs3H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#35586C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8076,Icon,,87Wa-UR-MnHuOTkcCDokf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#fff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8077,Icon,,qk61krbCMODsEkJlO4wDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#4B0082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,6.0,,,,,,,,,,,,,,,,,,,,,,,,
8078,Icon,,g_OMyIsWyNmzEsWL1PlEd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2E37FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8079,Icon,,mbJvYYII78ENAkpS2BV9N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#284942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8080,Icon,,X2X31lukKxJJFOF_R_LS9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#292421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8081,Icon,,1GAWAqH97XFL8ftdQGCaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8082,Icon,,11uzfTVUyW6aN9HN6ydcP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#284942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8083,Icon,,3MtESz2v15CT7JVSxYIlO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3B5323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8084,Icon,,14W693UMQGGPYyJMgx1dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#543948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8085,Icon,,dFZwhNOJuasuCg-9zqxgg,,,,,,,,,,,,,,,,,,,,,,pointer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8086,Icon,,9eFhFWKfQiw3yYZuNcInt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#FF3300,,,,,,,,,,0.5rem,,,,,,,,,,,,,,,,,,,,,,,36px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8087,Icon,,AghiSlGjG3q5l1Is_enwM,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,#0000C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8088,Icon,,ZLBoi37G0mbFlSZpJO7fW,,,5px,,,,,,,,,,1rem,,,,,,,,,,,,,,,#edefee,,,,#44c1b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8089,Icon,,cHWxVg6FJQLGBfUyXbBb2,,6px,15px,,,,,,,,,,,,,,,,,,1px solid #d3d3d3,,,,,,,,,,,#362819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8090,Icon,,-CcbHfFAkNauVbrZLQNZY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2E37FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8091,Icon,,0UvYrhp3mcbvmhug64d9w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#660000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8092,Icon,,9wpxVq-8DWv7XfyRGmdZl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#0000C3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,16px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8093,Icon,,TDA01UCTUxyJZyrpxQqON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#292421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8094,Icon,,HgtMmL0wFSO5BvYZfLaqM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8095,Icon,,KZAY5NyJyP_T3iidMSKKf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#556B2F,,,,,,,,,,,,,,,,,,,,,,,,,,,<Placeholder>,,,,,,19px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8096,Icon,,1E4GxLqVIMp_zpDnfvm8y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#fff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8097,Icon,,7iaRc8j6ygXxFOk5Z-KtI,,,,,,,,,,,,,,,,,,,,,,pointer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8098,Icon,,jQEwfp7FwmelFPxAUV2Lk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#385E0F,,,,,,,,,,,,,,,,5px,,,,,,,,,,,,,,,,,24px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8099,Icon,,A9jI4zapp8bCJ6NBWYBSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#00688B,,,,,,,,,,0.5rem,,,,,,,,,,,,,,,,,,,,,,,28px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8100,Icon,,P9VQAlP3uVVapushJMW8q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#660198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
